,problem,solver,status,sanity_sat,task-clock:u,context-switches:u,cpu-migrations:u,page-faults:u,cycles:u,instructions:u,branches:u,branch-misses:u,slots:u,topdown-retiring:u,topdown-bad-spec:u,topdown-fe-bound:u,topdown-be-bound:u,elapsed,user,sys
62,out/benchmarks/non-incremental/QF_SNIA/20180523-Reynolds/kaluza/sat/small/1884.corecstrs.readable,z3alpha,Success,sat,48.90,0,0,6018,127425598,228247704,49913679,951966,637127970,205147574,142256511,199253099,103245297,0.067006688,0.034839000,0.014515000
63,out/benchmarks/non-incremental/QF_SNIA/20180523-Reynolds/kaluza/sat/small/1637.corecstrs.readable,z3,Success,unsupported,7.46,0,0,1885,12279939,16571166,3473559,71106,61399695,15766318,8174422,19969568,17851245,0.008284391,0.002606000,0.005200000
64,out/benchmarks/non-incremental/QF_SNIA/20180523-Reynolds/kaluza/sat/small/1911.corecstrs.readable,z3noodler,Success,sat,15.31,0,0,2728,35880800,70866241,14980553,140021,179403980,71626640,16878337,59177191,33032040,0.015998963,0.008827000,0.006875000
65,out/benchmarks/non-incremental/QF_SNIA/20180523-Reynolds/kaluza/sat/small/1550.corecstrs.readable,cvc5,Success,sat,3.50,0,0,578,7711601,9972978,1997532,56325,38558005,9705664,5292275,20290214,3354933,0.004372253,0.002166000,0.001730000
66,out/benchmarks/non-incremental/QF_SNIA/20180523-Reynolds/kaluza/sat/small/1597.corecstrs.readable,z3alpha,Success,sat,46.83,0,0,6028,126492560,227170182,49717204,943712,632217005,205314488,137769744,196874455,103537392,0.054357308,0.030857000,0.016310000
67,out/benchmarks/non-incremental/QF_SNIA/20180523-Reynolds/kaluza/sat/small/1596.corecstrs.readable,z3alpha,Success,sat,48.83,0,0,6022,131276262,227137013,49713035,944503,656340210,204905704,139001471,200532714,123055310,0.065570050,0.039597000,0.009538000
68,out/benchmarks/non-incremental/QF_SNIA/20180523-Reynolds/kaluza/sat/small/1626.corecstrs.readable,z3alpha,Success,sat,46.99,0,0,6036,126937201,228559832,49989173,966571,634571695,205356374,145038731,196545617,99493755,0.054803330,0.041207000,0.006197000
69,out/benchmarks/non-incremental/QF_SNIA/20180523-Reynolds/kaluza/sat/small/2008.corecstrs.readable,z3alpha,Success,sat,48.73,0,0,5987,132551462,224449289,49206879,956072,650200900,204157919,140007175,203794714,114066571,0.061846789,0.034314000,0.014773000
70,out/benchmarks/non-incremental/QF_SNIA/20180523-Reynolds/kaluza/sat/small/1568.corecstrs.readable,z3alpha,Success,sat,48.26,0,0,6023,126520274,228565809,50000927,945584,632601330,205972175,141574569,199211406,99119327,0.066781619,0.036012000,0.012777000
71,out/benchmarks/non-incremental/QF_SNIA/20180523-Reynolds/kaluza/sat/small/1575.corecstrs.readable,z3alpha,Success,sat,46.69,0,0,5516,126655280,228504214,49955165,953798,633046110,206153679,140461611,195900417,103101290,0.054023375,0.033526000,0.013473000
72,out/benchmarks/non-incremental/QF_SNIA/20180523-Reynolds/kaluza/sat/small/1884.corecstrs.readable,z3,Success,unsupported,7.91,0,0,1886,13023529,16479764,3452165,70946,64830485,15647364,8377610,22100071,19093906,0.008899414,0.005013000,0.003345000
73,out/benchmarks/non-incremental/QF_SNIA/20180523-Reynolds/kaluza/sat/small/1628.corecstrs.readable,z3,Success,unsupported,7.45,0,0,1888,12122492,16569793,3472938,71565,60612460,15796184,8307634,19704739,17146770,0.008285721,0.003968000,0.003961000
74,out/benchmarks/non-incremental/QF_SNIA/20180523-Reynolds/kaluza/sat/small/1885.corecstrs.readable,z3,Success,unsupported,7.52,0,0,1376,12853548,16480497,3452076,71674,64267740,15260761,8555868,21388510,19447439,0.008320602,0.001967000,0.005900000
75,out/benchmarks/non-incremental/QF_SNIA/20180523-Reynolds/kaluza/sat/small/1884.corecstrs.readable,cvc5,Success,sat,3.39,0,0,572,7442133,9329455,1877140,56629,37210665,9075650,5107346,19728115,3384608,0.004262644,0.002088000,0.001595000
76,out/benchmarks/non-incremental/QF_SNIA/20180523-Reynolds/kaluza/sat/small/1633.corecstrs.readable,ostrich,Success,sat,2711.45,0,0,30737,8256820737,10213748184,2009166023,60868208,37536327995,7066398893,21893883231,8849804265,7087773322,0.984097708,2.507394000,0.242885000
